Country,Place,Name,Price,Tax,Stars,Distance,Number_of_review,Sustainable_level,Discount,Free_Breakfast,is_Prepayment,is_NotablePlace,is_Free_Cancel,is_Sold_Out,Point
Viet Nam,Hà Nội,Hanoi Center Silk Classic Hotel & Travel,658944.0,0.0,3.0,0.9,917,3,True,False,True,True,True,True,8.8
Viet Nam,Hà Nội,Golden Villa Hotel,703000.0,0.0,3.0,0.35,347,1,True,True,True,True,True,True,8.0
Viet Nam,Hà Nội,22Land Residence Hotel & Spa 52 Ngo Huyen,760320.0,0.0,4.0,0.45,456,0,True,False,True,True,True,True,8.1
Viet Nam,Hà Nội,Beryl Palace Hotel and Spa,900000.0,0.0,4.0,0.8,695,2,True,True,True,True,True,False,8.6
Viet Nam,Hà Nội,Madelise Palace Hotel & Spa,580500.0,0.0,4.0,0.9,92,3,False,False,False,False,False,True,9.2
Viet Nam,Hà Nội,HanoiOi Hotel,885500.0,0.0,4.0,0.5,526,3,False,True,True,False,True,True,9.1
Viet Nam,Hà Nội,22Housing luxury Hotel & Residence 39 Linh Lang,588800.0,0.0,,4.4,190,1,True,False,True,True,True,False,8.5
Viet Nam,Hà Nội,MIA HOTEL,382500.0,0.0,4.0,5.4,115,0,False,False,True,False,True,True,7.7
Viet Nam,Hà Nội,Classy Holiday Hotel & Spa,818171.0,0.0,4.0,0.9,692,0,False,True,False,False,False,False,8.4
Viet Nam,Hà Nội,Winter Boutique Hotel,532000.0,0.0,3.0,1.0,323,3,True,True,True,True,True,True,8.4
Viet Nam,Hà Nội,Hanoi Sena Hotel - Former Symphony Hanoi Hotel,560000.0,0.0,3.0,0.6,73,0,False,False,True,True,True,True,8.9
Viet Nam,Hà Nội,L'Heritage Hotel Hanoi,1366043.0,0.0,4.0,1.0,411,3,False,True,False,False,False,False,9.3
Viet Nam,Hà Nội,Rising Dragon Estate Hotel,170100.0,0.0,3.0,0.8,895,0,False,False,True,False,True,True,7.7
Viet Nam,Hà Nội,Hanoi Siva Luxury Hotel & Travel,825000.0,0.0,4.0,1.0,696,3,True,True,True,True,True,True,9.1
Viet Nam,Hà Nội,Marigold Hotel Hanoi,595034.0,0.0,3.0,1.4,480,3,False,True,False,False,False,False,9.2
Viet Nam,Hà Nội,Rex Hanoi Hotel,1340000.0,0.0,4.0,0.6,282,3,True,False,True,False,True,True,8.9
Viet Nam,Hà Nội,Singita Classy Boutique Hotel,880158.0,0.0,4.0,0.8,408,3,True,False,False,False,False,True,8.9
Viet Nam,Hà Nội,Hanoi Center Silk Charming Hotel & Travel,567000.0,0.0,3.0,0.8,175,3,True,False,False,False,False,True,8.8
Viet Nam,Hà Nội,Nature Hotel - Tran Thai Tong - Ha Noi,669600.0,0.0,3.0,6.4,146,0,False,True,True,False,True,True,8.4
Viet Nam,Hà Nội,Hanoi Garden Hotel & Spa,825210.0,0.0,4.0,0.9,263,0,False,False,False,True,False,False,9.3
Viet Nam,Hà Nội,Hanoi E Central Luxury Hotel & Restaurant,1500000.0,0.0,4.0,0.5,229,0,True,True,False,True,False,True,9.3
Viet Nam,Hà Nội,The Light Hotel,1242860.0,0.0,4.0,0.7,405,2,False,True,False,False,False,False,8.7
Viet Nam,Hà Nội,Lucky Central Hotel & Travel,4500000.0,0.0,3.0,0.5,27,3,True,False,True,False,True,True,8.2
Viet Nam,Hà Nội,Madelise Central Hotel & Travel,648375.0,0.0,4.0,0.7,451,3,False,False,False,False,False,True,8.1
Viet Nam,Hà Nội,Pullman Hanoi,1900000.0,294500.0,5.0,2.5,363,0,False,False,True,True,True,False,7.4
Viet Nam,Hà Nội,Beryl Signature Hotel & Travel,787500.0,0.0,4.0,0.6,204,3,True,False,False,True,False,True,9.4
Viet Nam,Hà Nội,Flora Centre Hotel & Spa,1031454.0,0.0,4.0,0.7,932,3,False,True,False,False,False,False,9.1
Viet Nam,Hà Nội,Golden Sun Hotel Trendy,944640.0,0.0,,0.45,308,2,True,False,True,False,True,False,9.3
Viet Nam,Hà Nội,Cristina Center Hotel & Spa,386100.0,0.0,2.0,1.0,95,2,False,False,True,True,True,True,8.2
Viet Nam,Hà Nội,Mai Hotel,675000.0,0.0,3.0,3.0,172,2,False,False,False,False,True,True,8.6
Viet Nam,Hà Nội,Hanoi Capital Premium Hotel,750000.0,0.0,3.0,0.4,64,0,False,True,True,False,True,True,9.1
Viet Nam,Hà Nội,Hanoi Rendezvous Hotel & Spa,464000.0,0.0,3.0,0.8,48,3,True,False,True,True,True,True,7.7
Viet Nam,Hà Nội,Hanoi Lake View Hotel & Spa,750000.0,0.0,4.0,0.5,170,3,False,True,False,True,False,True,9.4
Viet Nam,Hà Nội,Milton Boutique Hotel,440000.0,0.0,3.0,0.9,122,2,True,False,False,True,False,False,8.1
Viet Nam,Hà Nội,Hôtel du LAC Hanoi,1409920.0,0.0,4.0,0.4,995,3,False,True,False,False,False,False,9.3
Viet Nam,Hà Nội,Ancient Lane Hotel,320000.0,0.0,2.0,0.7,320,0,False,False,True,False,True,True,8.4
Viet Nam,Hà Nội,LUCK APART 8 - Hanoi Westlake Balcony Studio,688500.0,0.0,,6.7,89,1,False,False,True,False,True,False,9.1
Viet Nam,Hà Nội,Phoenix Palace Hotel Hanoi,450000.0,0.0,3.0,0.5,313,2,False,False,False,False,False,True,8.3
Viet Nam,Hà Nội,Hanoi Exclusive Hotel,755993.0,0.0,3.0,0.8,77,0,False,False,False,False,False,False,9.1
Viet Nam,Hà Nội,B Hotel,747000.0,0.0,,1.4,40,0,False,False,True,True,True,False,8.7
Viet Nam,Hà Nội,Lotte Hotel Hanoi,2432224.0,0.0,5.0,4.1,728,0,False,False,False,False,False,False,9.0
Viet Nam,Hà Nội,Capital O 387 Bach Duong Hotel,422931.0,0.0,3.0,6.6,594,1,False,False,False,True,False,False,8.7
Viet Nam,Hà Nội,La Sinfonía Majesty Hotel and Spa,1551170.0,0.0,4.0,0.5,350,2,False,True,False,False,False,False,9.4
Viet Nam,Hà Nội,Hanoi Lotus Boutique Hotel,638206.0,0.0,4.0,0.6,156,2,False,False,False,True,False,False,8.3
Viet Nam,Hà Nội,22housing Vinhomes Metropolis Hotel & Apartment,1400000.0,0.0,,3.9,38,3,True,False,True,True,True,False,8.7
Viet Nam,Hà Nội,San Grand Hotel - former Lucien Hanoi Hotel & Spa,1700000.0,0.0,4.0,0.5,736,3,True,True,False,False,False,True,9.4
Viet Nam,Hà Nội,Serenity Villa Hotel,450000.0,0.0,3.0,0.45,416,0,False,False,True,False,True,True,8.3
Viet Nam,Hà Nội,Matilda Boutique Hotel & Spa,946242.0,0.0,3.0,0.8,314,3,False,True,True,True,True,True,8.6
Viet Nam,Hà Nội,Little Diamond Hotel,375000.0,0.0,3.0,0.8,394,2,False,False,True,False,True,True,8.2
Viet Nam,Hà Nội,MoonLight Tay Ho,600000.0,0.0,,2.9,204,0,True,False,True,True,True,False,9.0
Viet Nam,Hà Nội,Hanoi Chic Boutique Hotel,578609.0,0.0,3.0,0.9,696,2,False,True,False,False,False,False,8.8
Viet Nam,Hà Nội,Hanoi Posh Boutique Hotel,460800.0,0.0,3.0,1.4,716,3,False,False,True,False,True,True,7.3
Viet Nam,Hà Nội,OYO 1143 Thu Giang Hotel,298842.0,17842.0,2.0,6.4,56,1,False,False,True,True,True,False,5.854636376872358
Viet Nam,Hà Nội,DE LA SOIE Hotel & Travel,585000.0,0.0,3.0,0.5,324,3,False,False,True,True,True,False,9.2
Viet Nam,Hà Nội,Moon West Lake Hotel & Residence,660000.0,0.0,,5.0,380,3,True,False,True,True,True,False,8.1
Viet Nam,Hà Nội,Margaery Boutique Apartment,1029600.0,0.0,4.0,4.2,115,2,False,False,True,False,True,False,8.5
Viet Nam,Hà Nội,OYO 276 Bh Hotel,314880.0,48804.0,3.0,1.0,267,1,False,False,False,True,False,False,8.3
Viet Nam,Hà Nội,The Pearl Hotel,886450.0,0.0,3.0,3.6,112,3,False,True,False,False,False,False,8.4
Viet Nam,Hà Nội,An Hotel,496125.0,0.0,2.0,1.4,398,0,False,False,False,False,False,True,8.9
Viet Nam,Hà Nội,Diamond Nostalgia Hotel & Spa,403806.0,0.0,3.0,0.9,279,0,False,True,False,False,False,False,7.6
Viet Nam,Hà Nội,Queen Cafe Hotel & Pub,480000.0,0.0,3.0,0.9,69,2,False,False,False,True,False,True,9.3
Viet Nam,Hà Nội,Hotel Emerald Waters Classy,978570.0,0.0,4.0,0.6,737,3,False,True,True,True,True,True,9.2
Viet Nam,Hà Nội,Golden Legend Palace Hotel,940000.0,0.0,3.0,0.6,433,3,True,True,False,False,False,True,9.0
Viet Nam,Hà Nội,Aviary Hanoi Hotel & Travel,780715.0,0.0,4.0,0.6,293,0,False,False,True,False,True,True,9.0
Viet Nam,Hà Nội,La Mejor Hotel & Sky Bar,1520198.0,0.0,4.0,0.7,278,3,False,True,False,False,False,False,9.3
Viet Nam,Hà Nội,Trang Trang Boutique Hotel,554500.0,0.0,3.0,0.7,462,3,True,False,True,False,True,True,9.0
Viet Nam,Hà Nội,Brandi Fuji Hotel,1076739.0,0.0,3.0,4.8,63,2,False,True,False,False,False,False,8.3
Viet Nam,Hà Nội,Asia Guest House,320000.0,0.0,2.0,0.9,166,0,False,False,False,True,False,True,7.6
Viet Nam,Hà Nội,Bonne Nuit Hotel & Spa Hanoi,701089.0,0.0,4.0,1.1,430,3,False,True,False,False,False,False,7.8
Viet Nam,Hà Nội,Dahlia Hotel Hanoi,791892.0,0.0,3.0,1.0,189,3,False,True,False,False,False,False,8.8
Viet Nam,Hà Nội,The Noble Swan Hotel & Spa,610754.0,0.0,4.0,0.5,513,3,False,False,False,False,False,False,7.9
Viet Nam,Hà Nội,Luxeden Hotel,607000.0,0.0,3.0,6.6,26,0,False,False,False,False,False,False,8.4
Viet Nam,Hà Nội,Diamond Legend Hotel,511269.0,0.0,3.0,1.3,387,0,False,False,False,False,False,False,8.4
Viet Nam,Hà Nội,Hotel De Rond,855600.0,0.0,4.0,0.6,85,3,True,True,True,True,True,True,8.9
Viet Nam,Hà Nội,Camellia Residence Hanoi,1037400.0,0.0,4.0,1.5,34,3,True,False,False,True,False,False,9.8
Viet Nam,Hà Nội,PentStudio West Lake Hanoi,1689188.0,0.0,4.0,6.9,182,2,False,False,True,False,True,False,8.9
Viet Nam,Hà Nội,Hanoi Golden Charm Hotel,504000.0,0.0,2.0,0.6,276,0,False,False,False,False,False,True,6.8
Viet Nam,Hà Nội,Bonjour Hanoi Hotel & Travel,400950.0,0.0,2.0,1.1,64,3,False,False,False,False,False,True,8.1
Viet Nam,Hà Nội,The Queen Hotel & Spa 2,356176.0,0.0,2.0,0.45,398,0,False,False,False,False,False,False,7.2
Viet Nam,Hà Nội,OYO 191 Dragon Hotel,281092.0,43642.0,2.0,8.3,182,1,False,False,False,True,False,False,7.3
Viet Nam,Hà Nội,Shining Central Hotel & Spa,1169640.0,0.0,4.0,0.5,815,0,True,True,False,True,False,True,9.1
Viet Nam,Hà Nội,Golden Sail Hotel & Spa,2975000.0,0.0,4.0,0.9,686,0,False,True,True,True,True,True,8.7
Viet Nam,Hà Nội,Splendid Star Grand Hotel and Spa,820048.0,0.0,4.0,0.4,812,2,False,True,False,True,False,False,8.7
Viet Nam,Hà Nội,Splendid Holiday Hotel,759908.0,0.0,3.0,0.4,586,0,False,True,False,True,False,True,9.1
Viet Nam,Hà Nội,Hanoi Royal Palace Hotel 2,816998.0,0.0,4.0,0.6,411,3,False,True,False,True,False,False,9.1
Viet Nam,Hà Nội,Ambassador Hanoi Hotel & Travel,534263.0,0.0,3.0,0.7,547,0,False,False,False,True,False,False,9.2
Viet Nam,Hà Nội,Centraltique Downtown - Bespoke Colonial House Near Hoan Kiem Lake,600000.0,0.0,,0.7,246,0,False,False,False,False,False,False,8.5
Viet Nam,Hà Nội,Five Star Westlake 1st-4th Floors Hotel & Serviced Apartment,1350000.0,0.0,5.0,3.7,454,0,False,True,False,False,False,True,9.5
Viet Nam,Hà Nội,Libré Homestay,489300.0,0.0,,1.9,431,1,False,False,False,True,False,False,8.9
Viet Nam,Hà Nội,Aira Boutique Hanoi Hotel & Spa,1797537.0,0.0,4.0,0.8,981,2,False,False,False,False,False,False,9.2
Viet Nam,Hà Nội,Novotel Suites Hanoi,2300000.0,356500.0,4.0,6.9,86,3,False,False,True,False,True,False,8.4
Viet Nam,Hà Nội,Sumitomo9 Apartments & Hotel - alley 58 Dao Tan,583200.0,0.0,,4.7,35,1,False,False,False,False,False,True,8.7
Viet Nam,Hà Nội,Hanoi Golden Holiday Hotel,549000.0,0.0,3.0,0.9,445,0,False,True,False,False,False,True,9.1
Viet Nam,Hà Nội,Sunline Hotel,1075140.0,0.0,4.0,0.4,284,3,True,False,True,False,True,True,8.8
Viet Nam,Hà Nội,Poonsa Duy Tan Hotel and Serviced Apartment,545291.0,0.0,,6.6,167,1,False,False,False,False,False,False,8.8
Viet Nam,Hà Nội,22housing Vinhomes Metropolis Hotel & Residence,1480000.0,0.0,,3.9,74,0,True,False,True,True,True,False,7.7
Viet Nam,Hà Nội,22housing Serviced Apartment Vinhomes Metropolis,1480000.0,0.0,,3.9,74,3,True,False,True,True,True,False,7.7
Viet Nam,Hà Nội,Hotel de l'Opera Hanoi - MGallery,3029000.0,469495.0,5.0,0.5,184,3,False,False,True,False,True,False,7.9
Viet Nam,Hà Nội,Little Hanoi Hotel,461527.0,0.0,2.0,0.15,229,0,False,False,False,False,False,False,7.5
Viet Nam,Hà Nội,Alisa Hotel & Spa,970684.0,0.0,4.0,0.5,407,3,False,False,False,True,False,False,8.3
Viet Nam,Hà Nội,Melia Hanoi,3885536.0,0.0,5.0,0.6,473,2,False,False,False,False,False,False,8.6
Viet Nam,Hà Nội,Sonata Central Hotel & Spa,478800.0,0.0,3.0,0.8,145,0,False,True,True,True,True,True,8.1
Viet Nam,Hà Nội,TK123 HANOI HOTEL,687714.0,0.0,3.0,1.1,107,0,False,True,False,False,False,False,8.4
Viet Nam,Hà Nội,Atrium Hotel,326612.0,0.0,3.0,0.9,349,3,False,False,False,False,False,False,6.9
Viet Nam,Hà Nội,Hanoi Memory Legends Hotel,477012.0,0.0,3.0,0.9,97,3,False,False,False,True,False,False,8.0
Viet Nam,Hà Nội,Hanoi Elpis Hotel & Spa,957779.0,0.0,3.0,0.35,209,2,False,True,False,False,False,False,9.1
Viet Nam,Hà Nội,San Palace Hotel - former L'Harmonie Hotel & Spa,1027935.0,0.0,3.0,0.8,390,3,False,True,False,False,False,False,9.1
Viet Nam,Hà Nội,Old Quarter Hotel 1961,225000.0,0.0,,0.5,537,0,False,False,True,False,True,False,6.9
Viet Nam,Hà Nội,Grande Collection Hotel & Spa,642430.0,0.0,4.0,0.9,740,3,False,True,False,False,False,False,8.7
Viet Nam,Hà Nội,Thien Phu Garden Hotel,357500.0,0.0,,1.8,315,3,True,False,True,True,True,True,7.6
Viet Nam,Hà Nội,Blissington Apartments & Hotels,633750.0,0.0,,1.0,78,0,True,False,True,False,True,True,8.7
Viet Nam,Hà Nội,La Nueva Boutique Hotel Hanoi & Spa,1759500.0,0.0,4.0,0.45,573,3,False,True,False,True,False,True,9.0
Viet Nam,Hà Nội,The Bloom Classic,759747.0,0.0,,6.4,219,2,False,True,False,False,False,False,8.7
Viet Nam,Hà Nội,Holiday Suites Hotel & Spa,297500.0,0.0,3.0,1.0,469,0,False,False,False,False,False,True,8.7
Viet Nam,Hà Nội,Affa Boutique Hotel,563123.0,87284.0,3.0,0.25,49,0,False,True,False,False,False,False,8.3
Viet Nam,Hà Nội,Libra Hotel Residence,798000.0,0.0,4.0,6.8,433,3,False,False,False,False,False,False,8.9
Viet Nam,Hà Nội,Perfume's Cozy House,408750.0,0.0,,1.4,35,3,False,True,True,False,True,True,8.7
Viet Nam,Hà Nội,Fukurai Hotel & Apartment 2 Ha Noi,850000.0,0.0,4.0,4.0,183,0,False,False,True,False,True,False,8.7
Viet Nam,Hà Nội,22Land Hotel & Residence,804093.0,0.0,4.0,6.4,678,3,False,True,False,True,False,False,8.5
Viet Nam,Hà Nội,Carillon Boutique Hotel,702000.0,0.0,3.0,1.0,141,3,False,True,False,True,False,True,9.0
Viet Nam,Hà Nội,alley homestay,315000.0,0.0,,2.9,147,0,False,False,True,False,True,True,8.1
Viet Nam,Hà Nội,Aquarius Grand Hotel,570000.0,0.0,3.0,0.5,125,3,False,False,True,False,True,True,9.2
Viet Nam,Hà Nội,Spoon Hotel,336000.0,0.0,3.0,0.8,456,1,True,False,True,False,True,True,8.7
Viet Nam,Hà Nội,VNAHOMES APARTHOTEL,1043186.0,0.0,4.0,5.0,236,3,False,False,False,True,False,False,9.6
Viet Nam,Hà Nội,Anova 2 Hotel,416000.0,0.0,3.0,19.9,54,2,False,False,True,False,True,True,8.4
Viet Nam,Hà Nội,HANOI FLORA HOTEL,850500.0,0.0,4.0,0.6,489,3,False,True,False,True,False,True,9.0
Viet Nam,Hà Nội,SMARANA Hanoi HERITAGE,3037816.0,0.0,5.0,6.9,368,3,False,True,False,True,False,False,9.7
Viet Nam,Hà Nội,Skylark Hotel,1480100.0,0.0,4.0,1.5,113,0,False,False,True,True,True,True,8.0
Viet Nam,Hà Nội,Hanoi Gatsby Hotel,336000.0,0.0,3.0,0.7,195,3,True,False,True,True,True,True,7.4
Viet Nam,Hà Nội,Luxury Old Quarter Hotel & Gym,811474.0,0.0,4.0,0.8,519,3,False,False,True,False,True,True,9.0
Viet Nam,Hà Nội,La Passion Hanoi Hotel & Apartment,918000.0,0.0,3.0,0.7,84,0,False,True,False,True,False,True,9.1
Viet Nam,Hà Nội,Antique Angel Hotel,588900.0,0.0,3.0,1.0,152,0,True,False,True,False,True,True,9.2
Viet Nam,Hà Nội,The Flower Boutique Hotel & Travel,868000.0,0.0,4.0,1.7,328,1,True,False,True,True,True,True,9.3
Viet Nam,Hà Nội,Hanoi Lion Boutique Hotel,1260692.0,0.0,4.0,0.8,159,3,False,True,False,True,False,False,9.1
Viet Nam,Hà Nội,Dal Vostro Hotel & Spa,1213296.0,0.0,4.0,0.4,363,3,False,False,False,True,False,False,8.0
Viet Nam,Hà Nội,Hanoi Emerald Waters Hotel & Spa,1123467.0,0.0,4.0,0.5,385,3,False,True,False,True,False,True,9.0
Viet Nam,Hà Nội,Riverside Hanoi Hotel,572743.0,0.0,4.0,5.2,354,3,False,False,False,True,False,False,8.2
Viet Nam,Hà Nội,Imperial Hotel & Spa,1515740.0,0.0,4.0,0.45,653,3,False,False,False,True,False,False,9.4
Viet Nam,Hà Nội,Spring Hotel Hanoi,751066.0,0.0,4.0,6.9,35,0,False,False,False,False,False,False,7.9
Viet Nam,Hà Nội,Hanoi Stella Hotel,476550.0,0.0,3.0,0.6,68,0,True,False,True,False,True,True,8.1
Viet Nam,Hà Nội,Golden Time Hostel 3,489600.0,0.0,2.0,0.7,610,0,False,False,True,False,True,True,8.3
Viet Nam,Hà Nội,Muse Hanoi Boutique Apartment,760500.0,0.0,,1.7,31,0,False,False,False,False,False,False,9.1
Viet Nam,Hà Nội,An Nam Corner- Thanh Yen,396000.0,0.0,,1.1,40,2,False,False,False,False,False,True,8.7
Viet Nam,Hà Nội,Media Central Hotel & Spa,1050000.0,0.0,4.0,0.7,111,3,True,True,True,False,True,True,9.1
